date,user_id
2009-10-07 17:23:44,_crIokUeTCHVK_JVOy-0qQ
2009-07-11 16:47:38,VcLRGCG_VbAo8MxOm76jzA
2008-01-19 22:50:00,MGPQVLsODMm9ZtYQW-g_OA
2007-02-20 18:21:07,AkBtT43dYcttxQ3qOzPBAg
2007-06-15 20:02:41,3oDIaMM1bd7cwN0eKQv-rA
2008-03-12 19:13:45,0G-QF457q_0Z_jKqh6xWiA
2008-05-06 01:30:13,ITa3vh5ERI90G_WP4SmGUQ
2010-01-19 02:44:55,ZhK2xIa4f73JZfua7IP8vA
2007-06-06 06:58:04,N_mkNFTiBCw2bbF_TJY9Ug
2010-06-30 14:35:13,bQ_qlqlZRFgfRlqveB-ILg
2009-03-16 23:41:53,YMgZqBUAddmFErxLtCfK_w
2009-10-21 03:23:04,JC99U5y-KAchZIjBhf_DiQ
2008-10-27 21:47:03,8ZryN_S-n48g6rsa3W3QtQ
2011-04-08 22:19:26,UVUIi0q38pAvsfuEEppe0Q
2008-04-23 04:00:20,Z4rItwH8eQyhqkfGi9_6qg
2007-05-31 13:40:23,GcWXTgLffuZ5BsuZGcl02Q
2009-07-23 16:33:01,lfS2n5r2go3QuaOO7mtYwQ
2008-01-31 01:39:24,BgZwJBhVWKq1Urs4rKBdiA
2010-12-27 23:28:13,q9xZ_o95MTmBmLLPnZyBwQ
2010-04-22 15:05:24,Je6-vkrCJxex_cmREVpLBw
2010-08-13 18:59:54,JVHAFY5ijpGyyCtJb6NPcg
2007-09-18 17:56:17,zK-HYsRHsUrbhvWv6pq0Ew
2012-05-24 22:52:49,pxyzkPY6a4FVF0aDjBgC8w
2010-07-13 15:42:03,eTvp_hYnsrI5-ow_sQ31_g
2010-05-22 14:55:46,YbpLvFrMPiStbPPkj7K3qg
2010-07-14 10:46:19,c11NnfZEkPQg9khQWjtKWg
2011-08-20 23:31:53,tipQmXdg181T4NvxrXPjFg
2010-09-19 07:20:27,in672plSIGcbOj2q5moYwg
2006-07-20 16:34:24,16bmaGpCAqZB0PzjLTADWA
2010-08-23 01:30:51,418J-bXe-ox5Cp_opOWWvg
2008-04-25 12:41:20,g0ML1VMEftkgrtwNUd3TlQ
2007-03-24 15:47:23,y5qEpAfJQaOjjG8ZJWrp6w
2008-12-29 21:03:01,CQUDh80m48xnzUkx-X5NAw
2009-02-18 14:41:31,4VbB9qS2Xvk-bjAI1bNlGw
2010-09-07 23:24:36,waY4AzngWdZ9JqYBrUUmew
2008-12-02 21:01:46,t4aq9buiAuyciHxr7RvzNg
