date,review_id
2011-01-08 23:52:22,NvusujU9_5pIUbn9SZ6hMA
2018-06-09 01:37:02,vHOeBa7aMA_na4rfS2Db5A
2010-03-13 22:33:10,hG9RTxxivb0ZXzEk4JXTXA
2017-12-16 03:11:50,zIVkwgahZjOneChZFUYY4g
2015-04-28 20:29:40,DLczAuvMAlAnY5EeDGhTVg
2017-09-11 22:56:41,Fk-ExH4pvjBcwCuTG81gSg
2017-03-04 05:43:10,cWIVbtHF-b73rxjcaUB0cA
2016-01-30 16:10:22,3T50kT4cMgR31JsyRui9VQ
2018-01-10 03:12:43,NoQnvAU6iiy8ZdYvxzkIeQ
2013-09-04 13:35:06,pNs-xLIaPPB98_itKve9gQ
2018-05-08 17:43:51,cr5FQFd3b8TTYoYhiJql8w
2015-07-28 17:48:41,e3a_XpmlbeRdG1sp-9xSIg
2013-01-27 18:05:15,PhjS5WTZg4NCgUZQ0WaU7w
2018-01-21 19:59:37,JB2erSvN9-gNJHi5EAUVhw
2018-01-21 16:45:35,Ol2H02qnmJKbE7gnYgKNJA
2017-05-13 15:29:32,YsJc8mhp1al7B7IxXbH4cw
2018-04-15 12:19:40,p6a0RpE7E3ydxpUHeFB1-Q
2014-10-27 02:25:45,IViQW4ZINEG7WoSl-AWROQ
2018-06-09 11:32:20,Hr1QfdNpv8V4MvKhUXbZNQ
2011-06-29 17:19:42,3gemDhtP0-ehY2nJk2cSkQ
2018-05-08 17:25:35,L4WvY8zRCnuZqG6Hx3wA7A
2018-08-04 20:27:35,-rMW2uXk2Jbw5NNxrgbfFg
2017-12-16 02:57:21,U1Sr5DvpPE9JHLvgXPR65w
2009-03-02 00:21:16,BB1XYoSZd65Qa-OBh0FMFQ
2013-10-24 19:45:13,9y8SAwRs2uun-0TkxrfcNg
2017-10-02 13:48:36,evMCBZZHITAIv8LPYc7_6g
2016-05-31 02:49:28,an5D0qF_cQlq8npZgHTsxw
2006-04-25 22:26:28,5VlU25R6HJLXK6NKSUY39A
2017-07-18 21:23:44,jB5kgIwPqcsBAuJ9RbeDGA
2010-07-08 18:14:04,pu3SZNd22f7eXLKNz6Pruw
2017-12-29 14:39:09,SEZ_wEE6kybz8gpR4FwHzw
