user_id,business_id,text,date,compliment_count
9C_h-H1Z7Xz7dvbgsBrnSg,wuoYvojFNWuRrUO2UyM47Q,Slowest gas attendants ever,2011-08-07 23:43:48,0
4StF33ZASP-kBp62BK-KuA,lQZDL1J6xDjL7PG-5CgkGA,Greatest sushi and great variety of Ssian dishes !,2018-03-25 00:48:55,0
yX7A-nIPx43J4bzgVHrx1A,oGDLaTRLPLz-R_KyQ3TzPA,Always 5 stars.  Authentic and delicious every time.,2015-09-04 23:19:15,0
rSGYUBxKa-yA_0-5UbqRfQ,n1HOCV74TBVZdQdOUgp9xA,Awesome food! Love Moe Monday's! Great food and fast service:),2015-06-06 22:37:07,0
d8FwfuFM9SJA3kU_cIQ3aw,lQZDL1J6xDjL7PG-5CgkGA,Chinese pizza!,2015-06-06 21:14:01,0
f3AZHdFgVpB5oglDz4kvyQ,1c1X6tTyStXlVQMFBjQOAg,The chicken sandwich is hot!!!!!!,2010-06-14 17:30:08,0
zhx48x_XOjJQBA0DMnPG2Q,oGDLaTRLPLz-R_KyQ3TzPA,W............T............F is the pizza ? is this real ?? ummmm,2018-01-18 19:33:57,0
57SQLiv8zBgpSFuQkOMGDw,Mails_ytZ3JyvxmeD3faPw,"One of the best brick oven pizzas I've had in a while!  From the margarita to the buffalo mozzarella, you can't go wrong at Venuto's!",2010-01-18 17:38:09,0
d8FwfuFM9SJA3kU_cIQ3aw,lQZDL1J6xDjL7PG-5CgkGA,Kani salad!,2015-06-06 21:13:52,0
F9JJ8FiGHdeuiRuYC9W4yg,CPsp_Jn-cpYzyb4rBU8aDw,Food was good! Cheesesteak was wonderful!,2013-12-14 00:06:26,0
GeDkbw4M1Wo1EKxsUS70Rw,oGDLaTRLPLz-R_KyQ3TzPA,Best pizza place in town!!,2016-05-05 01:35:57,0
HycJkwRLEgYFZG-hDh_zdA,0pL-eq0ufX5jMDgVAvoHHw,Great food,2015-03-12 20:51:54,0
hL9exODglFhBM2vTBdfSog,0pL-eq0ufX5jMDgVAvoHHw,"Good food. Understaffed service.

Salad and soup were very good. Good portions on the entree with vegetables and fried rice. 

There was only one server for the whole ""non-Hibachi"" section so the service was quite slow. Also, wine was overpriced.",2016-12-30 17:47:47,0
zkamNMEjihh3zN7lC7_WVw,NbajxjmlNjYfUNr1osXpYw,Margarita pizza is always good.,2009-06-10 06:07:02,0
NyF7XnMtdCzUjxPdf5h9qw,Ttg0xnJpjDTlVDKC5iBbdA,This Starbucks by far has the best layout on all of South Jersey! Check out the room in the back when you stop in. Can't take a pic...too many people back there today.,2013-08-23 23:22:33,0
ePxjx8tee06mn5h87X-Sxg,-7AGjO0qnOld_GZK9dNNkQ,Ask for Jim - awesome server!,2015-02-13 00:23:54,0
178lUNiULUgxi8fdm1zXmA,chuO2Jj_3joGqxGLWh8pGg,"Very convenient tho they don't sell larger animals like cats and dogs. Also, unlike some other petsmart locations, there is no banfield vet",2011-07-25 22:41:16,0
R3h9RootEfP94fZPCjcwzA,g3XizWCZY2FO4g-C5EWdyA,"Best pizza in the area - by a long shot!
Antonio well done sir...",2015-04-25 17:41:01,0
Pzmkm8VO09u28GDGvTX52w,hhkGPCoe2bChIjr77d9t_w,Great food great prices great service,2016-01-07 01:12:45,0
i-v015Oa8uK4JiHe0GC8mQ,7CwAjHjTPilN_zBuOSdMxg,"Watch the documentary, ""Supersize Me"" before you place your order.",2016-01-17 21:40:04,0
ePxjx8tee06mn5h87X-Sxg,0p7kYtoqwJScvJjMjXYr7w,Only place around the Sicklerville area for 100% fresh mozzarella!,2015-06-09 19:37:42,0
